Season,TeamName,eFGPct_Off,RankeFGPct_Off,TOPct_Off,RankTOPct_Off,ORPct_Off,RankORPct_Off,FTRate_Off,RankFTRate_Off
2023,Massachusetts,46.35974304,333,20.22403944,311,34.47098976,20,32.22698073,144
2023,McNeese St.,48.97798742,260,21.63923886,345,33.30564784,38,29.24528302,249
2023,Memphis,53.02958015,51,18.28056956,196,31.21783877,93,35.44847328,65
2023,Mercer,48.91055046,261,18.16218339,182,30.40152964,120,28.55504587,270
2023,Merrimack,48.32928311,290,20.74877008,322,20.51282051,353,34.56865128,79
2023,Miami FL,54.28571429,25,16.05696119,47,31.78807947,72,30.70294785,204
2023,Miami OH,51.97652872,94,19.67327423,285,26.65952891,234,32.0568252,155
2023,Michigan,51.57973922,115,15.19184505,23,25.61912895,266,30.84252758,199
2023,Michigan St.,51.69753086,108,16.38963024,62,27.60791367,213,27.16049383,316
2023,Middle Tennessee,51.15950226,145,19.31985964,262,31.86180422,71,29.41176471,241
2023,Milwaukee,51.42473118,126,21.43138888,343,32.57506824,56,31.93548387,161
2023,Minnesota,49.03846154,253,19.62235529,282,25,286,30.76923077,202
2023,Mississippi,47.46508019,310,18.21600924,189,33.30529857,39,29.17744439,252
2023,Mississippi St.,46.74586777,328,19.38203031,264,35.54119548,14,33.83264463,99
2023,Mississippi Valley St.,45.44913742,347,23.49866485,361,28.62318841,181,38.01308745,32
2023,Missouri,54.99521989,17,15.8143637,38,26.33814783,246,29.06309751,258
2023,Missouri St.,50.14551804,202,19.13292818,249,33.23890463,42,27.24097788,312
2023,Monmouth,43.80387931,360,21.09169459,331,30.26533997,125,33.13577586,115
2023,Montana,53.79072682,35,17.26719428,106,24.44444444,307,29.13533835,255
2023,Montana St.,50.95430885,157,17.78873082,147,25.65597668,265,43.95604396,5
2023,Morehead St.,49.03726708,254,18.34340831,203,26.6064257,239,34.65838509,78
2023,Morgan St.,47.77365492,304,21.99292009,348,29.78303748,144,30.98330241,195
2023,Mount St. Mary's,48.57630979,276,20.75892463,323,27.83505155,207,25.91116173,335
2023,Murray St.,49.00849858,256,16.255415,53,27.4952919,215,33.20113314,114
2023,N.C. State,51.4436297,124,13.31149744,2,30.36277603,121,25.25206233,340
2023,NJIT,48.26243259,292,16.04824696,46,23.42691191,326,28.22049131,283
2023,Navy,51.45264381,123,17.32863058,116,29.92047714,134,23.70714701,353
2023,Nebraska,51.73184358,105,18.58006647,219,24.69597755,298,28.15642458,286
2023,Nebraska Omaha,48.53195164,281,18.50322154,215,24.22779923,312,29.6488198,234
2023,Nevada,50.7204611,174,15.27273989,27,22.78846154,333,39.13544669,24
2023,New Hampshire,45.76113861,342,15.02083601,16,26.07879925,252,29.57920792,236
2023,New Mexico,52.63558033,68,15.58151314,32,27.94759825,202,39.12823112,25
2023,New Mexico St.,50.16583748,198,18.34661271,205,27.02702703,229,34.74295191,76
2023,New Orleans,52.71966527,62,23.55685665,362,29.77178423,145,36.4614465,50
2023,Niagara,50.31746032,190,18.63964439,223,26.47385984,241,29.96825397,223
2023,Nicholls St.,50.30229746,191,18.53866406,217,29.28286853,156,27.62998791,299
2023,Norfolk St.,52.17391304,84,19.78678471,287,33.4422658,33,39.50850662,20
2023,North Alabama,50.71143995,175,15.81178264,37,23.1208373,329,30.10813887,216
2023,North Carolina,49.22383575,242,15.22371898,25,30.44554455,119,37.00550826,42
2023,North Carolina A&T,47.40373396,316,17.50708007,130,24.67652495,299,30.04667445,219
2023,North Carolina Central,50.92150171,159,22.61046898,353,32.33256351,59,34.19795222,93
2023,North Dakota,51.02209945,154,16.72424484,75,25.58983666,268,27.3480663,310
2023,North Dakota St.,51.6723356,110,16.87626018,86,24.46601942,306,32.19954649,145
2023,North Florida,53.3431085,45,17.32512452,115,26.16451933,250,28.4457478,272
2023,North Texas,51.22216187,139,19.77061023,286,33.36347197,36,30.961434,196
2023,Northeastern,47.97535211,298,21.28170549,337,31.73537872,74,27.75821596,297
2023,Northern Arizona,50.50735667,185,15.91526554,40,26.85421995,233,27.39726027,307
2023,Northern Colorado,52.41437395,73,17.47671309,125,24.32692308,310,31.44300955,177
2023,Northern Illinois,52.17132659,85,20.26784189,314,24.9516441,290,34.32480666,88
2023,Northern Iowa,51.27832655,136,17.67269971,143,22.57751938,339,31.08657757,191
2023,Northern Kentucky,49.06865354,250,17.33702373,117,31.57439446,85,26.92921767,320
2023,Northwestern,47.28150407,320,14.69283219,11,28.52485738,186,29.67479675,233
2023,Northwestern St.,51.30035696,133,17.26458545,105,33.276884,41,27.23100459,313
2023,Notre Dame,51.96721311,95,13.37140138,4,19.57129543,357,23.27868852,357
2023,Oakland,49.12758997,249,15.11932238,20,24.20262664,313,31.62486369,167
2023,Ohio,52.38573581,76,16.15049939,51,32.78969957,51,27.47363134,304
2023,Ohio St.,52.02241715,89,16.13415008,50,31.51618399,88,26.55945419,326
2023,Oklahoma,52.37258348,77,19.98925811,300,23.74616172,323,30.05272408,218
2023,Oklahoma St.,48.80254154,266,20.59765641,320,32.6433121,55,32.45356794,134
2023,Old Dominion,46.44744568,332,17.11966672,95,32.81958296,50,36.17146213,53
2023,Oral Roberts,55.44987147,9,13.21966253,1,24.49168207,304,24.2159383,350
2023,Oregon,51.10132159,147,18.30282862,201,32.56767842,57,31.9627998,158
2023,Oregon St.,46.49178255,331,20.7781854,325,25.2814739,282,33.94437421,97
2023,Pacific,52.70121279,64,16.26640761,54,23.06976744,330,33.13120176,116
2023,Penn,53.30750894,46,18.85023563,235,30.05181347,131,29.49940405,237
